carName,brand,model,category,manufactureYear,licensePlate,price,count,status,color,specifications,imageUrl,warrantyPeriod,number_of_seats,fuel,gear
LYNK & CO 09 HALO,09,& CO 09 HALO,Other,2025,,2199000000,1,Available,White,,,12,5,Petrol,số tự động
LYNK & CO 01 2.0 TURBO,01,& CO 01 2.0 TURBO,Other,2025,,999000000,1,Available,xanh,,,12,5,Petrol,số tự động
LYNK & CO 05 HYPER HALO,05,& CO 05 HYPER HALO,Other,2025,,1599000000,1,Available,Black,,,12,5,Petrol,số tự động
Lynk & Co 06 NEW 100% Model 2025,06,& Co 06 NEW 100% Model 2025,Other,2024,,729000000,1,Available,White,,,12,5,Petrol,số tự động
"Lynk & Co 06 1.5 Turbo, Mới 100% Model 2025",06,"& Co 06 1.5 Turbo, Mới 100% Model 2025",Other,2024,,729000000,1,Available,hồng,,,12,5,Petrol,số tự động
Lynk & Co 01 Hyper Black - NEW 100%,01,& Co 01 Hyper Black - NEW 100%,Other,2024,,999000000,1,Available,Black,,,12,5,Petrol,số tự động
Lynk & Co 01 Louder  SẴN GIAO NGAY - NEW 100%,06,& Co 01 Louder SẴN GIAO NGAY - NEW 100%,Other,2024,,999000000,1,Available,White,,,12,5,Petrol,số tự động
LYNK & CO 01 SẴN GIAO NGAY - NEW 100%,01,& CO 01 SẴN GIAO NGAY - NEW 100%,Other,2025,,999000000,1,Available,White,,,12,5,Petrol,số tự động
LYNK & CO 06 TRẮNG - XE ĐÔ THỊ - NEW 100%,06,& CO 06 TRẮNG - XE ĐÔ THỊ - NEW 100%,Other,2025,,729000000,1,Available,White,,,12,5,Petrol,số tự động
LYNK & CO 06 1.5 TURBO 2025,06,& CO 06 1.5 TURBO 2025,Other,2025,,729000000,1,Available,xanh,,,12,5,Petrol,số tự động
HYUNDAI MIGHTY W750 EURO 5,W750,MIGHTY W750 EURO 5,Other,2025,,715000000,1,Available,xanh,,,12,5,Diesel,Manual
LYNK & CO 06 HYPER,06,& CO 06 HYPER,Other,2024,,729000000,1,Available,hồng,,,12,5,Petrol,số tự động
LYNK & CO 06 1.5 TURBO 2025,06,& CO 06 1.5 TURBO 2025,Other,2025,,729000000,1,Available,xám,,,12,5,Petrol,số tự động
HYUNDAI SOLATI EURO 5 16 CHỖ,Solati,SOLATI EURO 5 16 CHỖ,Other,2025,,1040000000,1,Available,White,,,12,5,Diesel,Manual
SUZUKI XL7 HYBRID MÀU XÁM 2025 - 7 CHỖ - NHẬP KHẨU - ĐỘNG CƠ MỚI,XL7,XL7 HYBRID MÀU XÁM 2025 - 7 CHỖ - NHẬP KHẨU - ĐỘNG CƠ MỚI,Other,2025,,599900000,1,Available,xám,,,12,5,Petrol,số tự động
LYNK & CO 06 1.5 TURBO 2025,06,& CO 06 1.5 TURBO 2025,Other,2025,,729000000,1,Available,xám,,,12,5,Petrol,số tự động
HYUNDAI SOLATI EURO 5 16 CHỖ,Solati,SOLATI EURO 5 16 CHỖ,Other,2025,,1040000000,1,Available,White,,,12,5,Diesel,Manual
SUZUKI XL7 HYBRID MÀU XÁM 2025 - 7 CHỖ - NHẬP KHẨU - ĐỘNG CƠ MỚI,XL7,XL7 HYBRID MÀU XÁM 2025 - 7 CHỖ - NHẬP KHẨU - ĐỘNG CƠ MỚI,Other,2025,,599900000,1,Available,xám,,,12,5,Petrol,số tự động
SUZUKI XL7 HYBRID MÀU CAM - 7 CHỖ - NHẬP KHẨU - QUÀ TẶNG HƠN 65 TRIỆU,XL7,XL7 HYBRID MÀU CAM - 7 CHỖ - NHẬP KHẨU - QUÀ TẶNG HƠN 65 TRIỆU,Other,2024,,607900000,1,Available,cam,,,12,5,Petrol,số tự động
"SUZUKI JIMNY 2024 TRẮNG, TẶNG PHỤ KIỆN, 2 CẦU, 4 CHỖ CHUYÊN OFFROAD",XL7,"JIMNY 2024 TRẮNG, TẶNG PHỤ KIỆN, 2 CẦU, 4 CHỖ CHUYÊN OFFROAD",Other,2024,,789000000,1,Available,White,,,12,5,Petrol,số tự động
SUZUKI JIMNY 2024 MÀU ĐEN CỰC NGẦU - 2 CẦU CHUYÊN OFFROAD,XL7,JIMNY 2024 MÀU ĐEN CỰC NGẦU - 2 CẦU CHUYÊN OFFROAD,Other,2024,,789000000,1,Available,Black,,,12,5,Petrol,số tự động
SUZUKI XL7 HYBRID XANH KHAKI 2024 - 7 CHỖ - NHẬP KHẨU - ƯU ĐÃI NGAY 65 TRIỆU,XL7,XL7 HYBRID XANH KHAKI 2024 - 7 CHỖ - NHẬP KHẨU - ƯU ĐÃI NGAY 65 TRIỆU,Other,2024,,599900000,1,Available,xanh,,,12,5,Petrol,số tự động
SUZUKI JIMNY 2024 VÀNG NÓC ĐEN - CHUYÊN OFFROAD - 2 CẦU,XL7,JIMNY 2024 VÀNG NÓC ĐEN - CHUYÊN OFFROAD - 2 CẦU,Other,2024,,799000000,1,Available,vàng,,,12,5,Petrol,số tự động
FORD FOCUS SPORT 1.5L ECOBOOST 2017,Focus,FOCUS SPORT 1.5L ECOBOOST 2017,Other,2017,,455000000,1,Available,White,,,12,5,Petrol,số tự động
FORD EVEREST TITANIUM 4X2 2019,Everest,EVEREST TITANIUM 4X2 2019,Other,2019,,860000000,1,Available,White,,,12,5,Diesel,số tự động
FORD TOURNEO TITA LIMOUSINE 2020,Tourneo,TOURNEO TITA LIMOUSINE 2020,Other,2020,,785000000,1,Available,White,,,12,5,Petrol,số tự động
FORD ECOSPORT TITANIUM 1.5L 2017,Ecosport,ECOSPORT TITANIUM 1.5L 2017,Other,2017,,365000000,1,Available,xám,,,12,5,Petrol,số tự động
LYNK & CO 01 2.0 TURBO - MỚI 100% - TRẮNG - 2024,01,& CO 01 2.0 TURBO - MỚI 100% - TRẮNG - 2024,Other,2024,,949050000,1,Available,White,,,12,5,Petrol,số tự động
LYNK & CO 06 1.5 TURBO - MỚI 100% - XANH SONIC- 2024,06,& CO 06 1.5 TURBO - MỚI 100% - XANH SONIC- 2024,Other,2024,,692550000,1,Available,xanh,,,12,5,Petrol,số tự động
LYNK & CO 03+ - 2025 - MỚI 100% - VÀNG,03,& CO 03+ - 2025 - MỚI 100% - VÀNG,Other,2025,,1899000000,1,Available,vàng,,,12,5,Petrol,số tự động
LYNK & CO 01 2.0 TURBO - MỚI 100% - TRẮNG - 2024,01,& CO 01 2.0 TURBO - MỚI 100% - TRẮNG - 2024,Other,2024,,949050000,1,Available,White,,,12,5,Petrol,số tự động
LYNK & CO 06 1.5 TURBO - MỚI 100% - XANH SONIC- 2024,06,& CO 06 1.5 TURBO - MỚI 100% - XANH SONIC- 2024,Other,2024,,692550000,1,Available,xanh,,,12,5,Petrol,số tự động
LYNK & CO 03+ - 2025 - MỚI 100% - VÀNG,03,& CO 03+ - 2025 - MỚI 100% - VÀNG,Other,2025,,1899000000,1,Available,vàng,,,12,5,Petrol,số tự động
LYNK & CO 01 - 2024 - MỚI 100% - XÁM,01,& CO 01 - 2024 - MỚI 100% - XÁM,Other,2024,,999000000,1,Available,xám,,,12,5,Petrol,số tự động
LYNK & CO 05 - 2024 - MỚI 100% - ĐEN,05,& CO 05 - 2024 - MỚI 100% - ĐEN,Other,2024,,1599000000,1,Available,Black,,,12,5,Petrol,số tự động
LYNK & CO 06 1.5 TURBO,06,& CO 06 1.5 TURBO,Other,2024,,692550000,1,Available,bạc,,,12,5,Petrol,số tự động
LYNK & CO 06 - 2024 - MỚI 100% - XÁM,06,& CO 06 - 2024 - MỚI 100% - XÁM,Other,2024,,729000000,1,Available,xám,,,12,5,Petrol,số tự động
FORD RANGER RAPTOR 2.0L 4WD AT 2025 XÁM,Ranger,RANGER RAPTOR 2.0L 4WD AT 2025 XÁM,Other,2025,,1036000000,1,Available,xám,,,12,5,Diesel,số tự động
FORD RANGER RAPTOR 2024 ĐỎ CAM,Ranger,RANGER RAPTOR 2024 ĐỎ CAM,Other,2024,,1306000000,1,Available,Red,,,12,5,Diesel,số tự động
 FORD EVEREST SPORT 4X2 AT 2025 ĐEN,Everest,EVEREST SPORT 4X2 AT 2025 ĐEN,Other,2025,,1178000000,1,Available,Black,,,12,5,Diesel,số tự động
FORD EXPLORER LIMITED 2.3L ECOBOOST I4 AT 2025 TRẮNG,Explorer,EXPLORER LIMITED 2.3L ECOBOOST I4 AT 2025 TRẮNG,Other,2025,,1999000000,1,Available,White,,,12,5,Petrol,số tự động
FORD RANGER XLS 2.0L 4X4 AT 2025 MÀU ĐỎ CAM,Ranger,RANGER XLS 2.0L 4X4 AT 2025 MÀU ĐỎ CAM,Other,2025,,777600000,1,Available,Red,,,12,5,Diesel,số tự động
FORD RANGER WILDTRAK 2.0L AT 4X4 2025 ĐỎ,Ranger,RANGER WILDTRAK 2.0L AT 4X4 2025 ĐỎ,Other,2025,,986000000,1,Available,Red,,,12,5,Diesel,số tự động
FORD EVEREST TITANIUM+ 2.0L 4X4 AT 2025 TRẮNG,Everest,EVEREST TITANIUM+ 2.0L 4X4 AT 2025 TRẮNG,Other,2025,,1475000000,1,Available,White,,,12,5,Diesel,số tự động
FORD RANGER XLS 2.0L 4x2 AT 2025 TRẮNG,Ranger,RANGER XLS 2.0L 4x2 AT 2025 TRẮNG,Other,2025,,707000000,1,Available,White,,,12,5,Diesel,số tự động
FORD RANGER WILDTRAK 2.0L AT 4X4 2025 ĐỎ,Ranger,RANGER WILDTRAK 2.0L AT 4X4 2025 ĐỎ,Other,2025,,986000000,1,Available,Red,,,12,5,Diesel,số tự động
FORD EVEREST TITANIUM+ 2.0L 4X4 AT 2025 TRẮNG,Everest,EVEREST TITANIUM+ 2.0L 4X4 AT 2025 TRẮNG,Other,2025,,1475000000,1,Available,White,,,12,5,Diesel,số tự động
FORD RANGER XLS 2.0L 4x2 AT 2025 TRẮNG,Ranger,RANGER XLS 2.0L 4x2 AT 2025 TRẮNG,Other,2025,,707000000,1,Available,White,,,12,5,Diesel,số tự động
FORD EVEREST SPORT SE 2025 MÀU TRẮNG TUYẾT,Everest,EVEREST SPORT SE 2025 MÀU TRẮNG TUYẾT,Other,2025,,1199900000,1,Available,White,,,12,5,Diesel,số tự động
FORD TRANSIT PREMIUM 2025 BẠC,Transit,TRANSIT PREMIUM 2025 BẠC,Other,2025,,1091000000,1,Available,bạc,,,12,5,Diesel,Manual
FORD RANGER STORMTRAK 2025 BẠC,Ranger,RANGER STORMTRAK 2025 BẠC,Other,2025,,1039000000,1,Available,bạc,,,12,5,Diesel,số tự động
FORD RANGER XLS 2.0L 4X4 AT 2025 TRẮNG,Ranger,RANGER XLS 2.0L 4X4 AT 2025 TRẮNG,Other,2025,,776000000,1,Available,White,,,12,5,Diesel,số tự động
FORD RANGER XLS 2.0L 4X4 AT 2025 ĐEN,Ranger,RANGER XLS 2.0L 4X4 AT 2025 ĐEN,Other,2025,,776000000,1,Available,Black,,,12,5,Diesel,số tự động
FORD TRANSIT CỨU THƯƠNG HOÁN CẢI 2025 - MÀU TRẮNG,Transit,TRANSIT CỨU THƯƠNG HOÁN CẢI 2025 - MÀU TRẮNG,Other,2025,,1057000000,1,Available,White,,,12,5,Diesel,Manual
FORD RANGER SPORT 2.0L 4X4 AT 2025 MÀU ĐỎ,Ranger,RANGER SPORT 2.0L 4X4 AT 2025 MÀU ĐỎ,Other,2025,,871000000,1,Available,Red,,,12,5,Diesel,số tự động
FORD TERRITORY SPORT 1.5L AT 2024 ĐEN,Territory,TERRITORY SPORT 1.5L AT 2024 ĐEN,Other,2024,,869000000,1,Available,Black,,,12,5,Petrol,số tự động
FORD RANGER WILDTRAK  2.0L 4X4 AT 2025 VÀNG,Ranger,RANGER WILDTRAK 2.0L 4X4 AT 2025 VÀNG,Other,2025,,986000000,1,Available,vàng,,,12,5,Diesel,số tự động
FORD TERRITORY TITANIUM X 1.5 AT 2025 ĐỎ,Territory,TERRITORY TITANIUM X 1.5 AT 2025 ĐỎ,Other,2025,,889000000,1,Available,Red,,,12,5,Petrol,số tự động
FORD TERRITORY TITANIUM X 1.5 AT 2025 NÂU,Territory,TERRITORY TITANIUM X 1.5 AT 2025 NÂU,Other,2025,,889000000000,1,Available,nâu,,,12,5,Petrol,số tự động
VOLVO XC90 PLUG-IN HYBRID ULTRA,XC90,XC90 PLUG-IN HYBRID ULTRA,Other,2025,,4370000000,1,Available,,,,12,5,plug-in hybrid ,số tự động
FORD TERRITORY TITANIUM X 1.5 AT 2025 ĐỎ,Territory,TERRITORY TITANIUM X 1.5 AT 2025 ĐỎ,Other,2025,,889000000,1,Available,Red,,,12,5,Petrol,số tự động
FORD TERRITORY TITANIUM X 1.5 AT 2025 NÂU,Territory,TERRITORY TITANIUM X 1.5 AT 2025 NÂU,Other,2025,,889000000000,1,Available,nâu,,,12,5,Petrol,số tự động
VOLVO XC90 PLUG-IN HYBRID ULTRA,XC90,XC90 PLUG-IN HYBRID ULTRA,Other,2025,,4370000000,1,Available,,,,12,5,plug-in hybrid ,số tự động
FORD TERRITORY SPORT,Territory,TERRITORY SPORT,Other,2024,,869000000,1,Available,White,,,12,5,Petrol,số tự động
LYNK & CO 06 2024 - ĐÀ LẠT,06,& CO 06 2024 - ĐÀ LẠT,Other,2024,,729000000,1,Available,hồng,,,12,5,Petrol,số tự động
Ford Territory Titanium Mới,Territory,Territory Titanium Mới,Other,2025,,849000000,1,Available,White,,,12,5,Petrol,số tự động
Ford Territory Trend 2025,Territory,Territory Trend 2025,Other,2025,,759000000,1,Available,xám,,,12,5,Petrol,số tự động
MITSUBISHI XFORCE ULTIMATE - 2025,Xforce ,XFORCE ULTIMATE - 2025,Other,2025,,710000000,1,Available,Red,,,12,5,Petrol,số tự động
MITSUBISHI XPANDER PREMIUM 2025,Xpander,XPANDER PREMIUM 2025,Other,2025,,658000000,1,Available,White,,,12,5,Petrol,số tự động
MITSUBISHI ATTRAGE MT 2025,Attrage,ATTRAGE MT 2025,Other,2025,,334000000,1,Available,White,,,12,5,Petrol,Manual
MITSUBISHI TRITON GLX 2025,Triton,TRITON GLX 2025,Other,2025,,625000000,1,Available,xám,,,12,5,Diesel,số tự động
MITSUBISHI ATTRAGE PREMIUM 2025,Attrage,ATTRAGE PREMIUM 2025,Other,2025,,445000000,1,Available,White,,,12,5,Petrol,số tự động
MITSUBISHI XFORCE ULTIMATE - 2025,Xforce ,XFORCE ULTIMATE - 2025,Other,2025,,660000000,1,Available,White,,,12,5,Petrol,số tự động
MITSUBISHI XFORCE GLX 2025,Xforce ,XFORCE GLX 2025,Other,2025,,569000000,1,Available,,,,12,5,Petrol,số tự động
INNOVA CROSS HYBIRD 2024 TRẮNG NGỌC TRAI,Innova Cross,CROSS HYBIRD 2024 TRẮNG NGỌC TRAI,Other,2024,,998000000,1,Available,White,,,12,5,hybrid,số tự động
MITSUBISHI XFORCE ULTIMATE - 2025,Xforce ,XFORCE ULTIMATE - 2025,Other,2025,,660000000,1,Available,White,,,12,5,Petrol,số tự động
MITSUBISHI XFORCE GLX 2025,Xforce ,XFORCE GLX 2025,Other,2025,,569000000,1,Available,,,,12,5,Petrol,số tự động
INNOVA CROSS HYBIRD 2024 TRẮNG NGỌC TRAI,Innova Cross,CROSS HYBIRD 2024 TRẮNG NGỌC TRAI,Other,2024,,998000000,1,Available,White,,,12,5,hybrid,số tự động
XPANDER CROSS TRẮNG 2025,Xpander Cross,CROSS TRẮNG 2025,Other,2025,,698000000,1,Available,White,,,12,5,Petrol,số tự động
GEELY COOLRAY PREMIUM MÀU TRẮNG NĂM 2025,Coolray,COOLRAY PREMIUM MÀU TRẮNG NĂM 2025,Other,2025,,578000000,1,Available,White,,,12,5,Petrol,số tự động
TRITON 4x4 ATHLETE 2025 CAM ĐEN,Triton,4x4 ATHLETE 2025 CAM ĐEN,Other,2025,,924000000,1,Available,cam,,,12,5,Diesel,số tự động
ATTRAGE CVT PREMIUM 2025,Attrage,CVT PREMIUM 2025,Other,2025,,490000000,1,Available,White,,,12,5,Petrol,số tự động
XPANDER PREMIUM TRẮNG 2025,Xpander,PREMIUM TRẮNG 2025,Other,2025,,658000000,1,Available,White,,,12,5,Petrol,số tự động
HONDA HR-V L 2025,HR-V,HR-V L 2025,Other,2025,,750000000,1,Available,,,,12,5,Petrol,số tự động
HONDA HR-V RS 2025,HR-V,HR-V RS 2025,Other,2025,,869000000,1,Available,,,,12,5,hybrid,số tự động
TOYOTA YARIS CROSS 2025,Yaris Cross,YARIS CROSS 2025,Other,2025,,650000000,1,Available,White,,,12,5,Petrol,số tự động
TOYOTA VIOS G 2025,Vios,VIOS G 2025,Other,2025,,545000000,1,Available,White,,,12,5,Petrol,số tự động
GEELY COOLRAY FLAGSHIP 2025 MÀU XANH DƯƠNG,Coolray,COOLRAY FLAGSHIP 2025 MÀU XANH DƯƠNG,Other,2025,,628000000,1,Available,xanh,,,12,5,Petrol,số tự động
GEELY COOLRAY PREMIUM 2025 - MÀU TRẮNG,Coolray,COOLRAY PREMIUM 2025 - MÀU TRẮNG,Other,2025,,578000000,1,Available,White,,,12,5,Petrol,số tự động
GEELY COOLRAY PREMIUM 2025 MÀU CAM,Coolray,COOLRAY PREMIUM 2025 MÀU CAM,Other,2025,,578000000,1,Available,cam,,,12,5,Petrol,số tự động
GEELY COOLRAY FLAGSHIP 2025 MÀU XANH DƯƠNG,Coolray,COOLRAY FLAGSHIP 2025 MÀU XANH DƯƠNG,Other,2025,,628000000,1,Available,xanh,,,12,5,Petrol,số tự động
GEELY COOLRAY PREMIUM 2025 - MÀU TRẮNG,Coolray,COOLRAY PREMIUM 2025 - MÀU TRẮNG,Other,2025,,578000000,1,Available,White,,,12,5,Petrol,số tự động
GEELY COOLRAY PREMIUM 2025 MÀU CAM,Coolray,COOLRAY PREMIUM 2025 MÀU CAM,Other,2025,,578000000,1,Available,cam,,,12,5,Petrol,số tự động
GEELY COOLRAY FLAGSHIP 2025 MÀU ĐỎ,Coolray,COOLRAY FLAGSHIP 2025 MÀU ĐỎ,Other,2025,,628000000,1,Available,Red,,,12,5,Petrol,số tự động
GEELY COOLRAY PREMIUM 2025 MÀU BẠC,Coolray,COOLRAY PREMIUM 2025 MÀU BẠC,Other,2025,,578000000,1,Available,bạc,,,12,5,Petrol,số tự động
GEELY COOLRAY STANDAR 2025 - MÀU TRẮNG,Coolray,COOLRAY STANDAR 2025 - MÀU TRẮNG,Other,2025,,538000000,1,Available,White,,,12,5,Petrol,số tự động
GEELY COOLRAY STANDAR 2025 MÀU XÁM,Coolray,COOLRAY STANDAR 2025 MÀU XÁM,Other,2025,,538000000,1,Available,xám,,,12,5,Petrol,số tự động
Honda HR-V G 2025,HR-V,HR-V G 2025,Other,2025,,699000000,1,Available,,,,12,5,Petrol,số tự động
TOYOTA VELOZ TOP 2025,Veloz Cross,VELOZ TOP 2025,Other,2025,,660000000,1,Available,bạc,,,12,5,Petrol,số tự động
TOYOTA RAIZE 2025,Raize,RAIZE 2025,Other,2025,,510000000,1,Available,Red,,,12,5,Petrol,số tự động
Hyundai Venue 2025 Đà Nẵng,Venue,Venue 2025 Đà Nẵng,Other,2025,,492000000,1,Available,Red,,,12,5,Petrol,số tự động
Hyundai Grand i10 2025 Đà Nẵng,i10,Grand i10 2025 Đà Nẵng,Other,2025,,413000000,1,Available,White,,,12,5,Petrol,số tự động
HONDA CR-V L AWD 2025,CR-V,CR-V L AWD 2025,Other,2025,,1250000000,1,Available,,,,12,5,Petrol,số tự động
HONDA CITY RS 2025,City,CITY RS 2025,Other,2025,,569000000,1,Available,,,,12,5,Petrol,số tự động
HONDA BR-V G 2025,BR-V,BR-V G 2025,Other,2024,,629000000,1,Available,,,,12,5,Petrol,số tự động
HONDA CR-V L AWD 2025,CR-V,CR-V L AWD 2025,Other,2025,,1250000000,1,Available,,,,12,5,Petrol,số tự động
HONDA CITY RS 2025,City,CITY RS 2025,Other,2025,,569000000,1,Available,,,,12,5,Petrol,số tự động
HONDA BR-V G 2025,BR-V,BR-V G 2025,Other,2024,,629000000,1,Available,,,,12,5,Petrol,số tự động
HONDA CITY G 2025,City,CITY G 2025,Other,2025,,499000000,1,Available,,,,12,5,Petrol,số tự động
HONDA CITY L 2025,City,CITY L 2025,Other,2025,,539000000,1,Available,,,,12,5,Petrol,số tự động
HONDA CIVIC G 2025,Civic,CIVIC G 2025,Other,2024,,789000000,1,Available,,,,12,5,Petrol,số tự động
HONDA CIVIC RS 2025,Civic,CIVIC RS 2025,Other,2024,,889000000,1,Available,,,,12,5,Petrol,số tự động
HONDA CIVIC E:HEV RS 2025,Civic,CIVIC E:HEV RS 2025,Other,2024,,999000000,1,Available,,,,12,5,hybrid,số tự động
HONDA CR-V e: HEV RS 2025,CR-V,CR-V e: HEV RS 2025,Other,2024,,1259000000,1,Available,,,,12,5,hybrid,số tự động
HONDA CR-V L 2025,CR-V,CR-V L 2025,Other,2025,,1099000000,1,Available,,,,12,5,Petrol,số tự động
HONDA BR-V L 2025,BR-V,BR-V L 2025,Other,2024,,705000000,1,Available,,,,12,5,Petrol,số tự động
HONDA ACCORD CVT 2025,Accord,ACCORD CVT 2025,Other,2024,,1319000000,1,Available,,,,12,5,Petrol,số tự động
Hyundai Santafe 2025 Đà Nẵng - LH ; Mr Phương,Santa Fe,Santafe 2025 Đà Nẵng - LH ; Mr Phương,Other,2025,,1049000000,1,Available,White,,,12,5,Petrol,số tự động
Hyundai Tucson 2025 Đà Nẵng,Tucson,Tucson 2025 Đà Nẵng,Other,2025,,769000000,1,Available,White,,,12,5,Petrol,số tự động
Hyundai accent 2025 Đà Nẵng,Accent,accent 2025 Đà Nẵng,Other,2025,,464000000,1,Available,Red,,,12,5,Petrol,số tự động
Hyundai Santafe 2025 Đà Nẵng - LH ; Mr Phương,Santa Fe,Santafe 2025 Đà Nẵng - LH ; Mr Phương,Other,2025,,1049000000,1,Available,White,,,12,5,Petrol,số tự động
Hyundai Tucson 2025 Đà Nẵng,Tucson,Tucson 2025 Đà Nẵng,Other,2025,,769000000,1,Available,White,,,12,5,Petrol,số tự động
Hyundai accent 2025 Đà Nẵng,Accent,accent 2025 Đà Nẵng,Other,2025,,464000000,1,Available,Red,,,12,5,Petrol,số tự động
XPANDER PREMIUM 2022 ĐEN,Xpander,PREMIUM 2022 ĐEN,Other,2022,,550000000,1,Available,Black,,,12,5,Petrol,số tự động
HYUNDAI GRAND I10 1.2 AT 2025,i10,GRAND I10 1.2 AT 2025,Other,2025,,435000000,1,Available,White,,,12,5,Petrol,số tự động
HYUNDAI ACCENT 1.5 CAO CẤP 2024,Accent,ACCENT 1.5 CAO CẤP 2024,Other,2024,,569000000,1,Available,Red,,,12,5,Petrol,số tự động
XPANDER PREMIUM 2022 TRẮNG,Xpander,PREMIUM 2022 TRẮNG,Other,2022,,555000000,1,Available,White,,,12,5,Petrol,số tự động
XPANDER AT 2020 BẠC,Xpander,AT 2020 BẠC,Other,2020,,490000000,1,Available,bạc,,,12,5,Petrol,số tự động
HYUNDAI VENUE 1.0 ĐẶC BIỆT 2025,Venue,VENUE 1.0 ĐẶC BIỆT 2025,Other,2025,,539000000,1,Available,Black,,,12,5,Petrol,số tự động
HYUNDAI SANTAFE 2.5 PRESTIGE 2024,Santa Fe,SANTAFE 2.5 PRESTIGE 2024,Other,2024,,1265000000,1,Available,nâu,,,12,5,Petrol,số tự động
HYUNDAI SANTA FE 2.5 PRESTIGE 2025,Santa Fe,SANTA FE 2.5 PRESTIGE 2025,Other,2025,,1265000000,1,Available,Red,,,12,5,Petrol,số tự động
XPANDER PREMIUM 2022 ĐEN,Xpander,PREMIUM 2022 ĐEN,Other,2022,,550000000,1,Available,Black,,,12,5,Petrol,số tự động
HYUNDAI TUCSON XĂNG ĐẶC BIỆT TRẮNG,Tucson,TUCSON XĂNG ĐẶC BIỆT TRẮNG,Other,2025,,859000000,1,Available,White,,,12,5,Petrol,số tự động
HYUNDAI CRETA 1.5 ĐẶC BIỆT ĐEN,Creta,CRETA 1.5 ĐẶC BIỆT ĐEN,Other,2025,,650000000,1,Available,White,,,12,5,Petrol,số tự động
HYUNDAI STARGAZER CAO CẤP 2025 TRẮNG,Stargazer,STARGAZER CAO CẤP 2025 TRẮNG,Other,2024,,579000000,1,Available,White,,,12,5,Petrol,số tự động
HYUNDAI TUCSON XĂNG ĐẶC BIỆT TRẮNG,Tucson,TUCSON XĂNG ĐẶC BIỆT TRẮNG,Other,2025,,859000000,1,Available,White,,,12,5,Petrol,số tự động
HYUNDAI CRETA 1.5 ĐẶC BIỆT ĐEN,Creta,CRETA 1.5 ĐẶC BIỆT ĐEN,Other,2025,,650000000,1,Available,White,,,12,5,Petrol,số tự động
HYUNDAI STARGAZER CAO CẤP 2025 TRẮNG,Stargazer,STARGAZER CAO CẤP 2025 TRẮNG,Other,2024,,579000000,1,Available,White,,,12,5,Petrol,số tự động
HYUNDAI VENUE 1.0T 2025 TRẮNG,Venue,VENUE 1.0T 2025 TRẮNG,Other,2025,,494000000,1,Available,White,,,12,5,Petrol,số tự động
HYUNDAI SANTA FE PRESTIGE 2024 TRẮNG,Santa Fe,SANTA FE PRESTIGE 2024 TRẮNG,Other,2024,,1215000000,1,Available,White,,,12,5,Petrol,số tự động
HYUNDAI ACCENT 1.5 ĐAC BIET 2025 TRANG,Accent,ACCENT 1.5 ĐAC BIET 2025 TRANG,Other,2025,,519000000,1,Available,White,,,12,5,Petrol,số tự động
SUZUKI XL7 HYBRID 2025 - 7 CHỖ - NHẬP KHẨU- ƯU ĐÃI HƠN 55 TRIỆU,XL7,XL7 HYBRID 2025 - 7 CHỖ - NHẬP KHẨU- ƯU ĐÃI HƠN 55 TRIỆU,Other,2024,,607900000,1,Available,White,,,12,5,Petrol,số tự động
